action,asset,kept_or_target,mesh_name
ref-repaired (xoa tu truoc),Assets/Death Mage_7.asset,Assets/Mesh/Death Mage.asset,
ref-repaired (xoa tu truoc),Assets/Dragon_body_0.asset,Assets/Mesh/Dragon_body.asset,
ref-repaired (xoa tu truoc),Assets/Dragon_body_1.asset,Assets/Mesh/Dragon_body.asset,
ref-repaired (xoa tu truoc),Assets/Face_0.asset,Assets/Mesh/Face.asset,
ref-repaired (xoa tu truoc),Assets/Face_1.asset,Assets/Mesh/Face.asset,
ref-repaired (xoa tu truoc),Assets/Fire Demon_1.asset,Assets/Mesh/Fire Demon.asset,
ref-repaired (xoa tu truoc),Assets/Fire Demon_2.asset,Assets/Mesh/Fire Demon.asset,
ref-repaired (xoa tu truoc),Assets/Fire Demon_3.asset,Assets/Mesh/Fire Demon.asset,
ref-repaired (xoa tu truoc),Assets/Fire Demon_4.asset,Assets/Mesh/Fire Demon.asset,
ref-repaired (xoa tu truoc),Assets/Fire Demon_5.asset,Assets/Mesh/Fire Demon.asset,
ref-repaired (xoa tu truoc),Assets/Fire Demon_6.asset,Assets/Mesh/Fire Demon.asset,
ref-repaired (xoa tu truoc),Assets/Fire Demon_7.asset,Assets/Mesh/Fire Demon.asset,
ref-repaired (xoa tu truoc),Assets/Fire Demon_8.asset,Assets/Mesh/Fire Demon.asset,
ref-repaired (xoa tu truoc),Assets/Fire_0.asset,Assets/Mesh/Fire.asset,
ref-repaired (xoa tu truoc),Assets/Flame_0.asset,Assets/Mesh/Flame.asset,
ref-repaired (xoa tu truoc),Assets/Flame_1.asset,Assets/Mesh/Flame.asset,
ref-repaired (xoa tu truoc),Assets/Flame_2.asset,Assets/Mesh/Flame.asset,
ref-repaired (xoa tu truoc),Assets/Flame_3.asset,Assets/Mesh/Flame.asset,
ref-repaired (xoa tu truoc),Assets/Flame_5.asset,Assets/Mesh/Flame.asset,
ref-repaired (xoa tu truoc),Assets/Flame_6.asset,Assets/Mesh/Flame.asset,
ref-repaired (xoa tu truoc),Assets/Mesh/Bee Hive_0.asset,Assets/Mesh/Bee Hive.asset,
ref-repaired (xoa tu truoc),Assets/Mesh/Egg_0.asset,Assets/Mesh/Egg.asset,
restored from git,Assets/BackB.asset,Assets/Mesh/BackB.asset,
restored from git,Assets/BaoShi.asset,Assets/Mesh/BaoShi.asset,
restored from git,Assets/Base_2.asset,Assets/Mesh/Base_2.asset,
restored from git,Assets/Bat_0.asset,Assets/Mesh/Bat_0.asset,
restored from git,Assets/Bat_1.asset,Assets/Mesh/Bat_1.asset,
restored from git,Assets/Bat_2.asset,Assets/Mesh/Bat_2.asset,
restored from git,Assets/Bat_3.asset,Assets/Mesh/Bat_3.asset,
restored from git,Assets/Cactus_1.asset,Assets/Mesh/Cactus_1.asset,
restored from git,Assets/Cat Bolt_6.asset,Assets/Mesh/Cat Bolt_6.asset,
restored from git,Assets/Cat Lightning_4.asset,Assets/Mesh/Cat Lightning_4.asset,
restored from git,Assets/Death_0.asset,Assets/Mesh/Death_0.asset,
restored from git,Assets/Death_1.asset,Assets/Mesh/Death_1.asset,
restored from git,Assets/Death_2.asset,Assets/Mesh/Death_2.asset,
restored from git,Assets/Death_3.asset,Assets/Mesh/Death_3.asset,
restored from git,Assets/Death_4.asset,Assets/Mesh/Death_4.asset,
restored from git,Assets/Egglet_0.asset,Assets/Mesh/Egglet_0.asset,
restored from git,Assets/Egglet_1.asset,Assets/Mesh/Egglet_1.asset,
restored from git,Assets/Egglet_2.asset,Assets/Mesh/Egglet_2.asset,
restored from git,Assets/Egglet_3.asset,Assets/Mesh/Egglet_3.asset,
restored from git,Assets/Egglet_4.asset,Assets/Mesh/Egglet_4.asset,
restored from git,Assets/Fire Demon_0.asset,Assets/Mesh/Fire Demon_0.asset,
restored from git,Assets/Fire_1.asset,Assets/Mesh/Fire_1.asset,
restored from git,Assets/Fire_2.asset,Assets/Mesh/Fire_2.asset,
restored from git,Assets/Fire_3.asset,Assets/Mesh/Fire_3.asset,
restored from git,Assets/Fire_4.asset,Assets/Mesh/Fire_4.asset,
restored from git,Assets/Flame_4.asset,Assets/Mesh/Flame_4.asset,
